organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,Registered Nurse (RN) PCU Cardiac Surgery,ASC-6254|AH-HHC-26890,onsite,"['Looking for highly motivated nurses to help on this PCU Cardiac Surgery Unit. This unit cares for patients that are status post cardiac surgery. Staffing Certification: Basic Life Support (BLS) Certification Advanced Cardiac Life Support (ACLS) Certification Successful completion of a proctored rhythm test', 'Department: Telemetry 4D', 'Shift Timings: 18:45 - 07:15. ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN PCU', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN CRCU/ICU,ASC-7464|AH-HHC-90334,onsite,"['Department: Neuro Trauma ICU', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Emergency Room,ASC-7460|AH-HHC-2486,onsite,"['Department: Emergency Department', 'Shift Timing: Morning Shift  07:00-19:30  Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Pediatric Advanced Life Support (PALS) Certification, Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Medical / Surgical,ASC-7459|AH-HHC-51116,onsite,"['Department: Cardiovascular Unit', 'Shift Timing: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical / Surgical,ASC-7458|AH-HHC-79832,onsite,"['Department: Cardiovascular Unit', 'Shift Timing: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical / Surgical,ASC-7453|AH-HHC-42255,onsite,"['Department: Cardiovascular Unit', 'Shift Timing: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical / Surgical,ASC-7452|AH-HHC-81897,onsite,"['Department: Cardiovascular Unit', 'Shift Timing: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse (RN) PCU Cardiac Surgery,ASC-6250|AH-HHC-31407,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Telemetry 4D', 'Shift Timings: 18:45 - 07:15. ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN PCU', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical / Surgical,ASC-7451|AH-HHC-695,onsite,"['Department: Cardiovascular Unit', 'Shift Timing: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse (RN) PCU Cardiac Surgery,ASC-6246|AH-HHC-82347,onsite,"['Department: Telemetry 4D', 'Shift Timings: 18:45 - 07:15. ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN PCU', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN CRCU/ICU,ASC-7450|AH-HHC-37218,onsite,"['Department: Neuro Trauma ICU', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse - Critical Care Unit (CCU)', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Step Down,ASC-7435|AH-HHC-84689,onsite,"['Department: Stepdown Intermediate Care.', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Registered Nurse Step down', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN PCU Cardiac Surgery,ASC-6243|AH-HHC-63828,onsite,"['Department: Telemetry 4D', 'Shift Timings: 18:45 - 07:15. ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN PCU', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Labor and Delivery,ASC-7430|AH-HHC-60741,onsite,"['Department: LDRPN Unit', 'Shift Timings: Night shift 19:00-7:30 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders. ', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Labor AND Delivery', 'Traveler RN Labor AND Delivery']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN Med/Surg- Neurology Intermediate Care,ASC-7271|AH-HHC-14052,onsite,"['Department: Neurology Intermediate Care', 'Shift Timings: Night shift 19:00 - 07:30 Hours']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Neurology Intermediate Care', 'RN Neurology Intermediate Care', 'Traveler Neurology Intermediate Care']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Licensed Registered Nurse credentialed from the Indiana Board of Nursing required, Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse (RN) - Medical/ Surgical SF,ASC-6167|AH-HHC-77998,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Respiratory Intermdte Care', 'Shift timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Eye Care, Dental , Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse (RN) - Step Down,ASC-6131|AH-HHC-20650,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Nursing Administration', 'Shift timings: 18:45: 07:15']","['Administer nursing care to ill, injured, or disabled patients', 'Diagnose and establish patient treatment plans', 'Monitor and report changes in patient symptoms or behavior', 'Communicate with collaborating physicians or specialists regarding patient care', 'Educate patients about health maintenance and disease prevention', 'Facilitate referrals to other healthcare professionals and medical facilities', 'Maintain accurate patient medical records', 'Provide advice and emotional support to patients and their family members']","['RN Step Down', 'Traveler Step Down RN']",2 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Ascension Crisis Prevention & Intervention (CPI), Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse Medical / Surgical,ASC-7165|AH-HHC-29286,onsite,"['Department: Nursing Surgical Unit.', 'Shift Timings: Morning shift 07:00 - 19:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'Medical-Surgical Registered Nurse', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse (RN) - Medical/ Surgical SF,ASC-6083|AH-HHC-41770,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiovascular Unit', 'Shift timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Eye Care, Dental , Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse Step Down,ASC-7163|AH-HHC-56537,onsite,"['Department: Stepdown Intermediate Care.', 'Shift Timings: Night shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Registered Nurse Step down', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Care New England Health System,Ultrasound Technician,CNE-243|CNE-HHC-33412,onsite,"['Department: ULTRASOUND', 'Shift Timings: Morning Shift 7:00-19:00 Hours.']","['The Ultrasound Technologist performs diagnostic ultrasound studies, demonstrating good judgment in the use and application of ultrasound equipment.', 'The incumbent assesses the findings in the ultrasound examinations and assists the radiologist and staff physicians in interpreting the ultrasound studies.']","['Traveler Ultrasound Technician', 'Ultrasound Technicians']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, American Registry of Radiologic Technologists (ARRT)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.55 /hr","Reward Rate:
USD
$
6.55 /hr"
Care New England Health System,Registered Nurse Medical / Surgical,CNE-245|CNE-HHC-87052,onsite,"['Department: FLOAT POOL', 'Shift Timings: Night Shift 19:00-7:30 Hours ']","['Assessing, planning, implementing, and evaluating patient care plans in consultation with healthcare professionals.', 'Evaluating medical information, as well as providing direct and individualized bedside nursing care to pre-and post-surgery patients.', 'Preparing, administering and recording prescribed medications.', 'Changing dressings, inserting catheters, and starting IVs.', 'Adjusting specialized medical equipment as needed, as well as interpreting and recording measurements.', ""Monitoring patients' vitals and reporting adverse reactions to medications in a timely manner."", 'Collaborating on discharge planning with the healthcare team.', 'Answering questions and educating patients and their families on surgical procedures and post-surgery care.', 'Maintaining and updating patient files, medical charts, and health records.']","['Traveler RN Medical / Surgical', 'Medical-Surgical Nursing', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Rhode Island Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.86 /hr","Reward Rate:
USD
$
7.86 /hr"
Care New England Health System,CT Technologist,CNE-219|CNE-HHC-22714,onsite,"['Department: CT SCAN.', 'Shift Timings: Evening Shift 15:00 - 23:30 Hours.']","['Using computerized tomography equipment to capture diagnostic images of patients’ internal organs and tissues.', 'Appropriately positioning patients to scan specific areas of their bodies.', 'Performing regular warm-up sequences on the CT scanner to prolong the life of the X-ray tubes.', 'Sterilizing radiologic equipment to ensure the safety of patients.', ""Correctly interpreting doctors' written scanning instructions."", 'Administering radiocontrast agents to patients to enhance the visibility of internal organs and tissues.', 'Evaluating CT scans to determine whether they are of good technical quality.', 'Explaining scanning procedures to patients and providing reassurance and support as required.']","['CT Technologist RN', 'CT Technologist Traveler', 'CT technologist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, American Registry of Radiologic Technologists (ARRT)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
8.19 /hr","Reward Rate:
USD
$
8.19 /hr"
Ascension Health,RN Medical / Surgical,ASC-8978|AH-HHC-45675,onsite,"['Department: Nurse Staffing', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record and communicate patient condition as', 'appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care. ', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Interventional Radiology Technician,ASC-8979|AH-HHC-8276,onsite,"['Department: Interventional Radiology', 'Shift Timings: Morning Shift 08:00 - 16:30 Hours ']","['Prepare and position patients and select anatomic and technical parameters accurately.', 'Prepare and administer contrast media and medications within the accepted scope of practice and applicable state and federal regulations.', 'Observe patient during procedure and report abnormal activity.', 'Monitor protocols and recommend updates or refinements as warranted.', 'Follow radiation safety procedures and guidelines.', 'Able to perform all specialized imaging procedures such as angio, complex vascular, and nonvascular interventional and therapeutic procedures, along with assisting the Radiologist/PA.', 'Ensure all activities comply with regulatory agency standards.']","['Interventional Radiology Technician', 'traveler Interventional Radiology Technician']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, American Registry of Radiologic Technologists (ARRT) Certification , Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.62 /hr","Reward Rate:
USD
$
7.62 /hr"
Ascension Health,Registered Respiratory Therapist,ASC-8980|AH-HHC-17707,onsite,"['Department: Respiratory Care.', 'Shift Timings:  Early Morning shift  06:00 - 18:30  Hours.']","['Assess patient for appropriate type and frequency of treatment and develops a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provides information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Traveler Registered Respiratory Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Pediatric Advanced Life Support (PALS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.67 /hr","Reward Rate:
USD
$
4.67 /hr"
Ascension Health,Multimodality Technologist,ASC-8495|AH-HHC-66164,onsite,"[' Performs a variety of radiographic procedures used in the diagnostic treatment of illness and injuries. Performs computerized tomographic procedures for the diagnosis of disease and injury according to protocols established by radiologists', 'This position is at a small free standing ER and you will be performing xr and ct exams solo. This position is also integrated with other areas of the building such as helping nursing and medics. If you like patient care, this position is for you! Mon-Wed, Monday is at Plainfield, Tue & Wed is at Avon, ON-CALL rotation every 4th week. Navy Blue Scrubs . Option to pick up more hours. Work HOLIDAYS that fall on Mon-Wed. 12 hours shift guaranteed 36hrs/wk.', 'Department: Imaging Avon', 'Shift timings: 19:00 - 07:00']","['Positions patients and selects anatomic and technical parameters accurately.', 'Prepares and administers contrast media and medications within the accepted scope of practice and applicable state and federal regulations.', 'Observes patient during procedure and reports abnormal activity. Monitors protocols and recommends updates or refinements as warranted.', 'Implements radiation protection and safety standards.', 'Prepares, performs and assists the physician in special and advanced procedures.', 'Helps position patients and selects anatomic and technical parameters accurately.', 'Ensures all activities comply with regulatory agency standards.', 'Follows radiation safety procedures and guidelines. Prevents patient from being exposed to unnecessary radiation.', 'Ensures prompt submission of high-quality of all images and documents sent to PACS (image quality, correct lead markers and patient data/history).', 'Assists in maintaining a clean, safe, and orderly department to include procedure rooms, storage areas, dressing rooms, film storage area and any other areas in department.']",['Multimodality Technologist'],1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.94 /hr","Reward Rate:
USD
$
7.94 /hr"
Ascension Health,Registered Respiratory Therapist,ASC-8981|AH-HHC-28774,onsite,"['Department: Respiratory Care', 'Shift Timings: Night Shift 18:00 - 06:30']","['Assess patient for appropriate type and frequency of treatment and develops a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provides information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Traveler Registered Respiratory Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification , Pediatric Advanced Life Support (PALS) Certification, Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
4.67 /hr","Reward Rate:
USD
$
4.67 /hr"
Ascension Health,Registered Nurse Cath Lab,ASC-8984|AH-HHC-7055,onsite,"['Department: Cardiac Cath Labs Anc', 'Shift Timing: Morning Shift 07:00 - 15:30 Hours']","['Assess, prepare and position patients for procedures.', 'Perform conscious sedation and hemodynamic monitoring as necessary.', 'Prepare, implement and document plan of care.', ""Communicate patient's condition to physician before, during and after procedures."", 'Perform and/or facilitate diagnostic, therapeutic and interventional procedures.', 'Perform set up and provide equipment and supplies before, during and after procedures.']","['Cath Lab', 'Registered Nurse Cath Lab', 'Traveler Registered Nurse Cath Lab']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Registered Nurse (RN) - Step Down,ASC-8475|AH-HHC-28405,onsite,"['We are a 409 bed hospital located in Birmingham, Alabama. Our faith based ministry allows you to provide holistic care for your patients. The RN positions within our organization are 4 12 hour shifts per week, with every other weekend required. Holiday rotation will be required.', 'Department: Nursing Administration', 'Shift timings: 18:30 - 07:00']","['Administer nursing care to ill, injured, or disabled patients', 'Diagnose and establish patient treatment plans', 'Monitor and report changes in patient symptoms or behavior', 'Communicate with collaborating physicians or specialists regarding patient care', 'Educate patients about health maintenance and disease prevention', 'Facilitate referrals to other healthcare professionals and medical facilities', 'Maintain accurate patient medical records', 'Provide advice and emotional support to patients and their family members']","['RN Step Down', 'Traveler Step Down RN']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Ascension Crisis Prevention & Intervention (CPI), Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN CRCU/ICU,ASC-8992|AH-HHC-13033,onsite,"['Department: Intensive Care Unit ', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'Registered Nurse - ICU Intensive Care Unit', 'Traveler ICU RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, The National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
